St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,BIO 231,C,L,Microbiology Lab,,0.00 ,N,,Th 1245-0345PM,RNS 398,"Johnson, Theodore"
C,BIO 233,,,"Intermediate Genetics Students in Bio 233 must also register for one lab Bio 233 AL, BL, or CL. This course has class-year limits.",,1.00 ,N,,MWF 1045-1140,RNS 410,"Kandl, Kimberly A."
C,BIO 233,A,L,Intermediate Genetics Lab,,0.00 ,N,,W 0120-0420PM,RNS 394,"Kandl, Kimberly A."
C,BIO 233,B,L,Intermediate Genetics Lab,,0.00 ,N,,T 0800-1100,RNS 394,"Kandl, Kimberly A."
C,BIO 233,C,L,Intermediate Genetics Lab,,0.00 ,N,,T 0120-0420PM,RNS 394,"Kandl, Kimberly A."
C,BIO 242,,,Vertebrate Biology Students in Bio 242 must also register for one lab Bio 242 AL or BL. This course has class-year limits.,,1.00 ,N,SED,T 0800-0925 Th 0800-0920,RNS 290 RNS 290,"Freedberg, Steven"
C,BIO 242,A,L,Vertebrate Biology Lab,,0.00 ,N,,T 0120-0420PM,RNS 250,"Freedberg, Steven"
C,BIO 242,B,L,Vertebrate Biology Lab,,0.00 ,N,,Th 0120-0420PM,RNS 250,"Freedberg, Steven"
C,BIO 243,,,"Human Anatomy & Physiol Students in Bio 243 must also register for one lab Bio 243 AL, BL, or CL.",,1.00 ,N,,T 1145-0110PM Th 1245-0205PM,RNS 310 RNS 310,"Van Wylen, David"
C,BIO 243,A,L,Human Anatomy & Physiol L,,0.00 ,N,,M 0100-0400PM,RNS 254,"Van Wylen, David"
C,BIO 243,B,L,Human Anatomy & Physiol L,,0.00 ,N,,T 0800-1100,RNS 254,"Van Wylen, David"
C,BIO 243,C,L,Human Anatomy & Physiol L,,0.00 ,N,,T 0120-0420PM,RNS 254,"Van Wylen, David"
C,BIO 251,,,Plant Physiology Students in Bio 251 must also register for one lab Bio 251 AL or BL. This course has class-year limits.,,1.00 ,N,,MWF 1045-1140,RNS 190,"Giannini, John"
C,BIO 251,A,L,Plant Physiology Lab,,0.00 ,N,,M 1255-0355PM,RNS 455,"Giannini, John"
C,BIO 251,B,L,Plant Physiology Lab,,0.00 ,N,,T 0120-0420PM,RNS 455,"Giannini, John"
O,BIO 261,,,"Ecological Principles Students in Bio 261 must also register for one lab Bio 261 AL, BL, or CL.",,1.00 ,N,SED,MWF 0905-1000,RNS 410,"Shea, Kathleen L."
O,BIO 261,A,L,Ecological Principles Lab,,0.00 ,N,,T 1145-0245PM,RNS 440,"Shea, Kathleen L."
O,BIO 261,B,L,Ecological Principles Lab,,0.00 ,N,,Th 0215-0515PM,RNS 440,"Shea, Kathleen L."
O,BIO 261,C,L,Ecological Principles Lab,,0.00 ,N,,W 0200-0500PM,RNS 440,"Shea, Kathleen L."
C,BIO 275,,,Biology of Reproduction Students in Bio 275 must register for Bio 275 lab AL or BL.,,1.00 ,N,,T 0935-1100 Th 0930-1050,RNS 190 RNS 190,"Porterfield, Jean C."
C,BIO 275,A,L,Bio of Reproduction Lab,,0.00 ,N,,T 0120-0420PM,RNS 454,"Porterfield, Jean C."
C,BIO 275,B,L,Bio of Reproduction Lab,,0.00 ,N,,M 1255-0355PM,RNS 454,"Porterfield, Jean C."
C,BIO 291,A,T,Top: Wildflowers,,0.25 ,N,,W 0200-0400PM,RNS 435,"Giannini, John"
C,BIO 291,B,T,Top: India Registration by permission of instructor only.,,0.25 ,N,,,,"Walter, Anne"
O,BIO 291,C,T,Top: Exploring Bio Math,,0.25 ,N,,Th 0700-0900PM,RNS 204,"McKelvey, Steven"
O,BIO 291,D,T,Top: Compute Neurosci,,0.25 ,N,,M 0200-0255PM,RNS 240,"Crisp, Kevin M."
C,BIO 291,E,T,Top: Medical Terminology Please contact instructor for permission to register.,,0.25 ,N,,,,"Book, Cynthia"
C,BIO 294,,,Academic Internship,,1.00 ,Y,,,,"Angell, Diane K."
O,BIO 294,A,,Academic Internship,,0.50 ,Y,,,,"Porterfield, Jean C."
O,BIO 298,,,IS/Winter Deer Nutrition,,1.00 ,N,WRI,,,"Giannini, John"
O,BIO 298,A,,IS/Stable Isotope Analys,,1.00 ,N,,,,"Schmidt, Stephanie N."
O,BIO 298,B,,IS/Stable Isotope Ecology,,1.00 ,N,,,,"Schmidt, Stephanie N."
O,BIO 298,C,,IS/Soil Degradation Recov,,1.00 ,N,WRI,,,"Shea, Kathleen L."
O,BIO 341,,,Cell Physiology Students in Bio 341 must also register for one lab Bio 341 AL or BL.,,1.00 ,N,WRI,MWF 0905-1000,RNS 297,"Walter, Anne"
O,BIO 341,A,L,Cell Physiology Lab,,0.00 ,N,,Th 1250-0350PM,RNS 393,"Walter, Anne"
O,BIO 341,B,L,Cell Physiology Lab,,0.00 ,N,,Th 0800-1100,RNS 393,"Walter, Anne"
C,BIO 372,,,Developmental Biology Students in Bio 372 must also register for lab Bio 372 AL or BL. Open to Juniors and Seniors only.,,1.00 ,N,WRI,T 0935-1100 Th 0930-1050,RNS 290 RNS 290,"Cole, Eric"
C,BIO 372,A,L,Developmental Biology Lab,,0.00 ,N,,Th 0215-0515PM,RNS 246,"Cole, Eric"
C,BIO 372,B,L,Developmental Biology Lab,,0.00 ,N,,W 0200-0500PM,RNS 246,"Cole, Eric"
C,BIO 394,,,Academic Internship,,1.00 ,Y,,,,Staff
C,BIO 396,A,,Res: Cell Mech Lipid Stor Registration by permission of instructor only.,,1.00 ,N,,,,"Listenberger, Laura"
C,BIO 396,B,,Res: Hurricane Oysters Registration by permission of instructor only.,,1.00 ,N,,,,"Cole, Eric"
O,BIO 398,,,IR/Snow Pack,,1.00 ,N,WRI,,,"Schade, John D."
O,BIO 398,B,,IR/Algal Nutrient Ecology,,1.00 ,N,WRI,,,"Umbanhowar, Charles Jr."
O,BIO 398,C,,IR/Molecular Ecology II,,1.00 ,N,WRI,,,"Freedberg, Steven"
O,BIO 398,D,,IR/Soil Processes,,1.00 ,N,WRI,,,"Schade, John D."
O,BIO 398,E,,IR/Aquatic Insects,,1.00 ,N,,,,"Swift, Michael"
O,BIO 398,F,,IR/Small Mammal Research,,1.00 ,N,,,,"Angell, Diane K."
O,BIO 398,G,,IR/Compar. Pharmacology,,1.00 ,N,,,,"Crisp, Kevin M."
O,BIO 398,H,,IR/Snowpack Biogeochem,,1.00 ,N,WRI,,,"Schade, John D."
O,BIO 398,I,,IR/Retinal Neurobiology,,1.00 ,N,,,,"Demas, James"
O,BIO 398,J,,IR/Ecology MN Rare Fishes,,1.00 ,N,WRI,,,"Porterfield, Jean C."
O,BIO 398,K,,IR/Molecular Ecology,,1.00 ,N,,,,"Freedberg, Steven"
O,BIO 398,L,,IR/Act of DHW on AT Pases,,1.00 ,N,WRI,,,"Walter, Anne"
O,BIO 398,M,,IR/Biochemical Research,,1.00 ,N,,,,"Cole, Eric"
O,BIO 398,N,,IR/Gen Analys Soil Bact,,1.00 ,N,,,,"Schade, John D."
O,BMOLS 201,,,Expl Biomolecular Sci,,0.25 ,Y,,Th 0700-0900PM,RNS 400,"Kandl, Kimberly A."
C,BMOLS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,BMOLS 298,,,IS/,,1.00 ,N,,,,Staff
C,BMOLS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,BMOLS 398,,,IR/,,1.00 ,N,,,,Staff
C,CH/BI 127,,,Integrated Chem/Bio III Students in CH/BI 127 must also register for lab CH/BI 127 AL or BL. Open only to those students who have completed CH/BI 126.,,1.00 ,N,IST SED,MWF 1150-1245PM,RNS 310,"Listenberger, Laura"
C,CH/BI 127,A,L,Integr Chem/Bio III Lab,,0.00 ,N,,Th 0800-1100,RNS 394,"Listenberger, Laura"
C,CH/BI 127,B,L,Integr Chem/Bio III Lab,,0.00 ,N,,Th 1245-0345PM,RNS 394,"Listenberger, Laura"
C,CHEM 111,,,Chemistry & the World Students in Chem 111 must also register for one lab Chem 111AL or BL.,,1.00 ,N,IST SED,T 0120-0245PM Th 0215-0335PM,RNS 210 RNS 210,"Klein, Jennifer C."
C,CHEM 111,A,L,Chemistry & the World Lab,,0.00 ,N,,M 0200-0500PM,RNS 355,"Klein, Jennifer C."
C,CHEM 111,B,L,Chemistry & the World Lab,,0.00 ,N,,T 0800-1100,RNS 355,"Klein, Jennifer C."
O,CHEM 126,A,,"Chemical Reactions Students in Chem 126A, B, C, D, or E must also register for one lab Chem 126 AL, BL, CL, DL, EL, FL, GL, HL, or IL.",,1.00 ,N,SED,MWF 0800-0855,RNS 390,"Epp, Erik M."
C,CHEM 126,B,,"Chemical Reactions Students in Chem 126A, B, C, D, or E must also register for one lab Chem 126 AL, BL, CL, DL, EL, FL, GL, HL, or IL.",,1.00 ,N,SED,MWF 0905-1000,RNS 310,"Miessler, Gary"
O,CHEM 126,C,,"Chemical Reactions Students in Chem 126A, B, C, D, or E must also register for one lab Chem 126 AL, BL, CL, DL, EL, FL, GL, HL, or IL.",,1.00 ,N,SED,MWF 1045-1140,RNS 390,"Epp, Erik M."
C,CHEM 126,D,,"Chemical Reactions Students in Chem 126A, B, C, D, or E must also register for one lab Chem 126 AL, BL, CL, DL, EL, FL, GL, HL, or IL.",,1.00 ,N,SED,MWF 1150-1245PM,RNS 390,"Walczak, Mary"
C,CHEM 126,E,,"Chemical Reactions Students in Chem 126A, B, C, D, or E must also register for one lab Chem 126 AL, BL, CL, DL, EL, FL, GL, HL, or IL.",,1.00 ,N,SED,MWF 1255-0150PM,RNS 390,"Jordan, Annalisa M."
C,CHEM 126,A,L,Chem Reactions/Lab,,0.00 ,N,,M 0200-0500PM,RNS 350,"Walczak, Mary"
C,CHEM 126,B,L,Chem Reactions/Lab,,0.00 ,N,,T 0800-1100,RNS 350,"Jordan, Annalisa M."
C,CHEM 126,C,L,Chem Reactions/Lab,,0.00 ,N,,T 1145-0245PM,RNS 350,"Miessler, Gary"
C,CHEM 126,D,L,Chem Reactions/Lab,,0.00 ,N,,T 0300-0600PM,RNS 350,"Abdella, Beth"
C,CHEM 126,E,L,Chemical Reactions Lab,,0.00 ,N,,W 0200-0500PM,RNS 350,"Abdella, Beth"
C,CHEM 126,F,L,Chem Reactions/Lab,,0.00 ,N,,Th 0800-1100,RNS 350,"Walczak, Mary"
C,CHEM 126,G,L,Chem Reactions/Lab,,0.00 ,N,,Th 1250-0350PM,RNS 350,"Abdella, Beth"
C,CHEM 126,H,L,Chemical Reactions Lab,,0.00 ,N,,Th 0300-0600PM,RNS 355,"Miessler, Gary"
O,CHEM 126,I,L,Chemical Reactions Lab,,0.00 ,N,,F 0200-0500PM,RNS 350,"Epp, Erik M."
C,CHEM 248,A,,Organic Chemistry II Students in Chem 248 must also register for one Chem 254 lab.,,1.00 ,N,,MWF 0800-0855,RNS 310,"Hanson, Robert"
C,CHEM 248,B,,Organic Chemistry II Students in Chem 248 must also register for one Chem 254 lab.,,1.00 ,N,,MWF 0905-1000,RNS 390,"Hanson, Robert"
O,CHEM 248,C,,Organic Chemistry II Students in Chem 248 must also register for one Chem 254 lab.,,1.00 ,N,,T 0935-1100 Th 0930-1050,RNS 310 RNS 310,"Gittins, Peter J."
C,CHEM 254,A,L,Synthesis Lab II,,0.25 ,Y,,M 0200-0500PM,RNS 340,"Hanson, Robert"
O,CHEM 254,B,L,Synthesis Lab II,,0.25 ,Y,,T 0800-1100,RNS 340,"Brown, Dennis A."
C,CHEM 254,C,L,Synthesis Lab II,,0.25 ,Y,,T 1145-0245PM,RNS 340,"Gittins, Peter J."
C,CHEM 254,D,L,Synthesis Lab II,,0.25 ,Y,,T 0300-0600PM,RNS 340,"Brown, Dennis A."
C,CHEM 254,E,L,Synthesis Lab II,,0.25 ,Y,,W 0200-0500PM,RNS 340,"Gittins, Peter J."
O,CHEM 254,F,L,Synthesis Lab II,,0.25 ,Y,,Th 0800-1100,RNS 340,"Brown, Dennis A."
C,CHEM 254,G,L,Synthesis Lab II,,0.25 ,Y,,Th 1250-0350PM,RNS 340,"Brown, Dennis A."
C,CHEM 255,,,Analytical Chem Students in Chem 255 must also register for Chem 256 AL or BL.,,1.00 ,N,,T 0935-1100 Th 0930-1050,RNS 390 RNS 390,"Beussman, Douglas J."
C,CHEM 256,A,L,Analytical Lab,,0.25 ,Y,,T 0120-0520PM,RNS 446,"Beussman, Douglas J."
C,CHEM 256,B,L,Analytical Lab,,0.25 ,Y,,W 0100-0500PM,RNS 446,"Beussman, Douglas J."
C,CHEM 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHEM 298,,,IS/,,1.00 ,N,,,,Staff
C,CHEM 357,A,L,Physical Lab,,0.25 ,Y,WRI,T 0120-0520PM,RNS 392,"Schwinefus, Jeffrey J."
